ID with leading,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
0300030,2011-12,1,Single,0,39609,High School,College,Off Campus,5500,,,5387,,,,,,,,,,,,,,,,,,,,
0300664,2011-12,1,Single,0,53249,High School,College,With Parent,8500,,,9374,9500,,,4700,8500,,,10333,11726,,,5280,5500,,,1142,12500,,,2245
0298148,2011-12,1,Single,1549,113682,High School,College,With Parent,10500,,,,13500,,,,7140,,,9531,11500,250,,,,,,,,,,
0300597,2011-12,1,Single,0,47721,High School,High School,With Parent,3500,,,4632,3500,,,3994,,,,,,,,,,,,,,,,
0303060,2011-12,1,Single,1885,37865,Unknown,Unknown,Off Campus,,,,3000,,,,5550,,,,5595,,,,9634,,,,8339,,,,
0298316,2011-12,1,Single,0,33933,High School,High School,With Parent,,,,11314,,,,10552,,,,10667.65,,,2800,12192,,,,,,,,
0301271,2011-12,1,Single,0,21354,High School,High School,Off Campus,,,,9512.3,,,,,3500,,,4234,,,,,,,,,,,,
0298406,2011-12,1,Single,0,13737,High School,College,With Parent,,,3000,11588,,,1000,5145,,,,,,,,,,,,,,,,
0283668,2011-12,1,Single,0,40835,Unknown,College,With Parent,,10021,,2500,,10421.8,,2900,,,,,,,,,,,,,,,,
0302547,2011-12,1,Single,0,61246,High School,High School,With Parent,5500,,,1500,5500,1035,,,9500,,,,14300,,,,5500,,,,,,,
0296689,2011-12,1,Single,0,41176,High School,High School,With Parent,,,2000,6018,,,2060,,,,,,,,,,,,,,,,,
0296698,2011-12,1,Single,0,28164,High School,Middle School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
0302452,2011-12,1,Single,0,71314,High School,College,With Parent,,3434,,9612,,6421.8,,7000,,,,,,,,,,,,,,,,
0297388,2011-12,1,Single,1172,29897,High School,High School,With Parent,,2307,,10714,,2381.8,,11040,3200,1500,,12451,,1500,,10392,5500,,,7416,,,,
0260559,2011-12,1,Married,12124,0,High School,High School,Off Campus,,,,10714,5500,2000,2000,,,,,,,,,,,,,,,,,
0301787,2011-12,1,Single,0,0,College,High School,Off Campus,,,,,7500,,,10800,,,,8785,,,,9792,,,,463,,,,
0290265,2011-12,1,Married,49851,0,High School,High School,Off Campus,9500,,,,12500,,,,,,,,,,,,,,,,,,,
0301745,2011-12,1,Single,9044,11927,Middle School,Middle School,With Parent,,,,10714,,,,12390,4500,,,11183,,,,,,,,,,,,
0292744,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0297161,2011-12,1,Single,0,7873,College,College,With Parent,,,,12738,,,,13540,,,2500,13151,,,3800,13266,,5000,2000,12571,,,,
0280697,2011-12,1,Single,12501,0,High School,High School,On Campus Housing,,,,,,,,,,,,,,,,,,,,,,,,
0298252,2011-12,1,Single,15939,0,High School,High School,On Campus Housing,3500,,,8312,3500,,,8516,,,,,,,,,,,,,,,,
0051316,2011-12,1,Single,66532,0,Middle School,Middle School,Off Campus,10500,,,,10500,,,,,,,,,,,,,,,,,,,
0301726,2011-12,1,Single,44498,0,Middle School,Middle School,Off Campus,3500,,,2025,5500,,,3600,,,,,,,,,,,,,,,,
0294670,2011-12,1,Divorced,0,0,Unknown,Unknown,Off Campus,,,,2775,,,,,10558,,1000,2823,10208,,,7079.5,,,,,,,,
0298578,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302502,2011-12,1,Single,11476,0,High School,High School,Off Campus,3500,,,8918,5500,,,11790,,,,,,,,,,,,,,,,
0303583,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303817,2011-12,1,Single,0,0,High School,Unknown,Off Campus,12500,,,10714,12500,,,8295,,,,,,,,,,,,,,,,
0305119,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305298,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0292345,2011-12,1,Single,33018,0,High School,College,Off Campus,10500,,,,10500,,,,10500,,,,,,,,,,,,,,,
0297146,2011-12,1,Single,0,55000,College,College,With Parent,,,,5550,,,,,,,,,,,,,,,,,,,,
0247693,2011-12,1,Single,9261,0,Unknown,College,Off Campus,7500,,,,10500,,,7892,7500,,,4412,,,,,,,,,,,,
0291758,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0258879,2011-12,1,Single,25282,64431,Unknown,High School,With Parent,7500,,,,11500,,,,10802,,,,,,,,,,,,,,,
0304604,2011-12,1,Single,3759,0,Unknown,Unknown,Off Campus,10500,,,11289,10500,,,8670,10500,,,2822,,,,,,,,,,,,
0303606,2011-12,1,Single,678,95920,College,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0301664,2011-12,1,Single,7314,34347,High School,College,Off Campus,3500,,,5737,3000,,,,,,,,,,,,,,,,,,,
0294616,2011-12,1,Single,0,132240,College,High School,With Parent,7500,,,,7500,,,,10500,,,,,,,,,,,,,,,
0300889,2011-12,1,Single,15272,114686,High School,College,Off Campus,1750,,,,,,,,,,,,,,,,,,,,,,,
0282486,2011-12,1,,,,,,,,,,,,,,,9627,,,,10854,,,,11180,,,,,,,
0301625,2011-12,1,Single,12354,170000,High School,High School,With Parent,,4732,,6146,,6991.8,,6430,,,,,,,,,,,,,,,,
0304933,2011-12,1,Single,24677,0,High School,Middle School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0304249,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0276063,2011-12,1,Single,0,61132,College,College,With Parent,8500,,,,4500,,,,5500,,,3795,4199,,,2865,,,,,,,,
0302782,2011-12,1,Single,0,81035,Middle School,High School,On Campus Housing,3500,,,,,,,,,,,,,,,,,,,,,,,
0278173,2011-12,1,Single,1013,95000,High School,High School,On Campus Housing,26033,,,,26100,,,,,,,,,,,,,,,,,,,
0304674,2011-12,1,Single,21427,0,Middle School,Middle School,Off Campus,7500,,,5550,8500,,,4857,10500,,,8865,8669,,,8207,10500,,,6313,,,,
0299844,2011-12,1,Single,0,26514,High School,High School,On Campus Housing,3500,,,11988,,,,,,,,,,,,,,,,,,,,
0303301,2011-12,1,Single,0,60795,High School,College,With Parent,3899,,,900,,,,,,,,,,,,,,,,,,,,
0297794,2011-12,1,Single,5074,12602,High School,Middle School,With Parent,,,,11588,,,,11640,2000,,3300,8761,,,2400,12716,,,,,,,,
0299434,2011-12,1,Single,0,58256,High School,College,On Campus Housing,1750,5000,2000,4532,,5000,,,,,,,,,,,,,,,,,,
0086489,2011-12,1,Single,0,0,Unknown,Unknown,With Parent,,,,6369,,,,,,,,,,,,,,,,,,,,
0297844,2011-12,1,Single,0,0,High School,High School,With Parent,,,2300,10714,1000,,2000,6150,,,,,,,,,,,,,,,,
0303769,2011-12,1,Single,0,39343,High School,College,With Parent,10362,,,7924,5589,,,8750,6500,,,5167,3250,,,2858,17502,,,5775,8824,,,12373
0294946,2011-12,1,Single,0,29793,High School,High School,Off Campus,,,2000,11988,,,2800,10990,,,2000,11033,,,,12116,3000,,,8294,,,,
0296831,2011-12,1,Single,0,27422,College,College,With Parent,,,,8969,,,,2082,,,,,,,,,,,,,,,,
0300544,2011-12,1,Single,0,28357,High School,College,With Parent,,,3000,10074,,,2000,10990,,,2000,10533,,,3000,11044,,,2000,8616,,,2000,3133
0301696,2011-12,1,Single,0,3672,High School,High School,With Parent,,,,11588,5500,,,5550,4500,,,10335,5500,,,6330,5500,,,5725,12500,,,5815
0299570,2011-12,1,Single,0,72167,High School,High School,With Parent,3500,,,,3500,,,,4500,,,2195,5500,,,1480,5500,,2000,2025,3250,,,483
0300407,2011-12,1,Single,0,101029,Middle School,College,With Parent,9232,4759,,,11500,5316,,,,,,,,,,,,,,,,,,
0043733,2011-12,1,Single,0,13735,,College,On Campus Housing,3500,,,12863,5500,,,11790,6000,,,4234,6500,,,13266,11000,,,6925,2000,,,6912
0298780,2011-12,1,Single,0,49916,College,College,With Parent,5500,,2800,7518,9500,,,,6500,,,2495,12500,,,,12500,,,,5000,,,
0304741,2011-12,1,Single,0,46678,High School,College,With Parent,9500,,,4532,9500,,,4000,6500,,,9085,5500,,,7484,5000,,,7289,5000,,,1433
0302271,2011-12,1,Single,0,26553,High School,High School,On Campus Housing,337,1000,,7026.07,,,,,,,,,,,,,,,,,,,,
0298102,2011-12,1,Single,0,43111,Middle School,High School,With Parent,2200,,,10614,582,,,9990,,,,3791,,,,,,,,,,,,
0297572,2011-12,1,Single,0,52140,High School,High School,On Campus Housing,12000,,,6418,,,,,,,,,,,,,,,,,,,,
0302398,2011-12,1,Single,0,0,Unknown,High School,On Campus Housing,12000,,,10714,5500,,,11640,8500,,,11183,12500,,,11894,15000,,,9198,,,,
0303669,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0299485,2011-12,1,Single,0,43995,High School,High School,On Campus Housing,2400,,,11014,3500,,,9325,,,,,,,,,,,,,,,,
0302870,2011-12,1,Single,3404,15017,Middle School,High School,With Parent,,,,11588,,,,10002,,,,5645,,,2000,12716,,,,12255,,,,
0302639,2011-12,1,Divorced,14614,0,Middle School,College,Off Campus,5500,,,10714,5500,,,3120,,,,,,,,,,,,,,,,
0300964,2011-12,1,Single,0,22486,College,College,With Parent,,,,11588,,,,11790,,,,11183,,,,11244,2200,,,,,,,
0301202,2011-12,1,Single,4310,0,Middle School,Middle School,On Campus Housing,7500,,,5550,140,,,2500,,,,,,,,,,,,,2250,,,
0302633,2011-12,1,Single,0,30002,Unknown,High School,Off Campus,,,,10364,,,,,,,,,,,,,,,,,,,,
0301530,2011-12,1,Single,0,51310,Unknown,College,With Parent,,,,9764,,,,10090,6500,,,9085,5500,,,7684,,,,807,4875,,,533
0304097,2011-12,1,Single,23239,0,Unknown,Unknown,Off Campus,4478,,,9874,,,,,,,,,,,,,,,,,,,,
0298929,2011-12,1,Single,3218,21910,High School,High School,With Parent,,,,12738,,,,12940,,,,8836,,,,11542,,,,10357,,,,
0299017,2011-12,1,Single,0,13916,High School,High School,Off Campus,,,,12738,,,,10100,,,,6876,,,,,,,,,,,,
0305422,2011-12,1,Single,3074,0,Middle School,Middle School,Off Campus,3750,,,11588,8300,,,4908,10500,,,3995,3000,,,11042,,,,,,,,
0267051,2011-12,1,Married,22854,0,College,College,Off Campus,3500,,,2600,5500,,,1600,2750,,,,,,,,,,,,,,,
0304879,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304290,2011-12,1,Divorced,31200,0,High School,High School,Off Campus,12500,,,5400,5250,,,1850,,,,,,,,,,,,,,,,
0028567,2011-12,1,Single,25094,0,Middle School,Middle School,Off Campus,3750,,,,,,,,,,,,,,,,,,,,,,,
0302550,2011-12,1,Single,0,0,High School,High School,Off Campus,9500,,,10714,8500,,,3120,12100,,,3178,,,,,,,,,,,,
0301600,2011-12,1,Single,21735,0,High School,College,With Parent,6500,,,600,10500,,,1500,10500,,,,10500,,,1860,,,,,,,,
0299962,2011-12,1,Single,0,0,Middle School,High School,Off Campus,3200,,,11114,7500,,,2600,10500,,,2595,10500,,,,5250,,,,,,,
0300561,2011-12,1,Divorced,36320,0,Unknown,Unknown,Off Campus,3750,,,2500,12500,,,5550,12500,,,,8124,,,4970,,,,,,,,
0285848,2011-12,1,Married,116846,0,High School,College,Off Campus,35000,,,,,,,,,,,,,,,,,,,,,,,
0302176,2011-12,1,,,,,,,10000,,,,18896,,,,,,,,,,,,,,,,,,,
0301803,2011-12,1,Single,1528,0,College,High School,Off Campus,54057,,,,,,,,,,,,,,,,,,,,,,,
0302756,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300304,2011-12,1,Single,0,40472,Unknown,High School,On Campus Housing,4500,,,3150,4500,,,5400,5500,,,4940,4500,,,10844,7500,,,5025,12500,,,7379
0301067,2011-12,1,Married,69036,0,Middle School,High School,Off Campus,,10021,,,,10421.8,,,,1200,,,,,,,,,,,,,,
0297371,2011-12,1,Single,0,0,Unknown,College,With Parent,,,,11588,,,,12390,,,,,,,,,,,,,,,,
0273211,2011-12,1,Single,0,0,College,High School,On Campus Housing,9283,,,8132,10500,,,11790,2500,,,3178,,,,,,,,,,,,
0302772,2011-12,1,Single,2069,73993,College,College,With Parent,7000,,,,12400,,,,7500,,,,,,,,,,,,,,,
0280023,2011-12,1,Single,10033,19467,Unknown,High School,With Parent,7453,,,7362,10500,,,2536,6250,,,,,,,,,,,,,,,
0300412,2011-12,1,Single,3602,65801,High School,High School,On Campus Housing,11500,,745,1000,,,,,,,,,,,,,,,,,,,,
0299369,2011-12,1,Single,0,0,College,High School,With Parent,,,,5550,,,,5550,,,,5645,,,,6330,,,,,,,,
0303260,2011-12,1,Separated,6710,0,Unknown,Unknown,Off Campus,,,,346.5,,,,,,,,,,,,,,,,,,,,
0299997,2011-12,1,Single,2575,31200,College,College,With Parent,1750,,,7156.66,,,,4181.11,,,,,,,,,,,,,,,,
0300569,2011-12,1,Married,27607,0,High School,High School,Off Campus,32500,1000,,,,,,,,,,,,,,,,,,,,,,
0299363,2011-12,1,Married,50735,0,Unknown,Unknown,Off Campus,7500,,,,10500,,,,10500,,,,,,,,,,,,,,,
0300635,2011-12,1,Single,32729,0,High School,College,Off Campus,52218,,,,,,,,,,,,,,,,,,,,,,,
0299788,2011-12,1,Single,0,12871,High School,High School,With Parent,,,,11588,,,,,,,,,5500,,,12066,6500,,,11371,7500,,,8541
0302134,2011-12,1,Single,0,34313,,College,With Parent,,,,11588,4500,,2000,8750,6500,,1900,7481,5500,,,8992,2750,,,4804,,,,
0301723,2011-12,1,Single,6363,67267,College,College,With Parent,7500,,,,3299,,,11790,2799,,,5592,,,,,,,,,,,,
0283028,2011-12,1,Married,21539,0,College,College,Off Campus,7500,,,3506,,,,11790,5250,,,,,,,,,,,,,,,
0294970,2011-12,1,Married,79480,0,High School,High School,Off Campus,3500,,,,8561,,,,5500,,,,5500,,,,2750,,,,,,,
0301192,2011-12,1,,,,,,,,,,,5500,,,,12500,,,,10500,,,,,,,,,,,
0303346,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305186,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304587,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305182,2011-12,1,Single,36805,0,Unknown,Unknown,Off Campus,10500,,,,,,,,10500,,,3933,,,,,,,,,,,,
0305459,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303053,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0302328,2011-12,1,Single,9830,0,College,College,With Parent,9500,,,9524,10500,1000,,2800,,,,,,,,,,,,,,,,
0301676,2011-12,1,Single,0,23614,High School,High School,On Campus Housing,,,,10714,,,,,,,,,,,,,,,,,,,,
0300895,2011-12,1,Single,0,14961,High School,Middle School,On Campus Housing,12000,,,11588,12000,,,11790,11000,,2000,11783,9500,,2000,12116,12500,,,8548,5873,,,5965
0297560,2011-12,1,Single,54015,0,Middle School,High School,Off Campus,7500,5000,,,10500,5000,,,,,,,,,,,,,,,,,,
0299456,2011-12,1,Single,0,61756,High School,High School,With Parent,,,,1200,,,,7452,,,,7681,5500,,,4208,5500,,,2525,,,,
0303183,2011-12,1,Single,0,42955,High School,High School,On Campus Housing,2750,2000,,1300,,,,,,,,,,,,,,,,,,,,
0298767,2011-12,1,Single,0,24098,High School,College,On Campus Housing,7230,,420,11588,,,,,,,,,,,,,,,,,,,,
0297755,2011-12,1,Single,0,23990,High School,High School,On Campus Housing,9500,,2000,11588,9500,,3000,11740,6500,,,12601,4852,,,5680,7500,,,10107,5148,,,4639
0297083,2011-12,1,Single,0,69287,,College,On Campus Housing,3500,,,8124,9500,,,,5500,,1109,,3250,,1055,,,,,,,,,
0303435,2011-12,1,Single,0,23688,High School,High School,Off Campus,1750,,,2776,,,,11040,,,,706,,,,,,,,,,,,
0305281,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0299668,2011-12,1,Single,0,44528,Unknown,College,Off Campus,12500,,,3100,10500,,,1500,,,,,10500,,,5730,7500,,,12255,,,,
0301313,2011-12,1,Separated,48088,0,College,High School,Off Campus,9500,5000,,2200,12500,5000,,5550,6749,,,3526,,,,,,,,,,,,
0303775,2011-12,1,Single,18410,0,High School,High School,Off Campus,10500,,,5872,9258,,,11790,12500,500,,12601,8503,,,2865,,,,,,,,
0300221,2011-12,1,Single,0,28040,Unknown,High School,With Parent,5500,,,10714,3500,,,9690,4500,,,10935,5500,,,4483,,,,,,,,
0304227,2011-12,1,Single,0,40158,Unknown,Middle School,Off Campus,2250,,,2000,,,,,,,,,,,,,,,,,,,,
0301813,2011-12,1,Married,23078,0,College,College,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0301624,2011-12,1,Single,0,0,High School,High School,Off Campus,875,,,8132,6800,,,11040,,,,,,,,,,,,,,,,
0299713,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293485,2011-12,1,Single,20504,0,Middle School,Middle School,Off Campus,,1000,,11061,6500,,,4650,,,,,,,,,,,,,,,,
0298859,2011-12,1,Single,0,16450,Unknown,Unknown,On Campus Housing,9500,,,13263,3500,,,12940,,,,,,,,,,,,,,,,
0299006,2011-12,1,Single,0,0,Unknown,High School,On Campus Housing,3500,,3000,11988,2750,,,5895,,,,,,,,,,,,,,,,
0301422,2011-12,1,Single,16639,0,High School,College,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0300292,2011-12,1,Single,1668,39638,Middle School,High School,With Parent,,,,4062,,,,,,,,,,,,,,,,,,,,
0299959,2011-12,1,Single,0,45890,College,College,With Parent,3500,,,4163,,,,,,,,,,,,,,,,,,,,
0300608,2011-12,1,Single,0,37785,Unknown,College,With Parent,,,,2584,,,,,,,,,,,,,,,,,,,,
0304552,2011-12,1,Divorced,21122,0,High School,High School,Off Campus,3500,,,4857,,,,9402,2854,,,3528,4513,,,716,,,,,,,,
0300586,2011-12,1,Single,17267,0,High School,High School,With Parent,24500,,,,,,,,,,,,,,,,,,,,,,,
0303907,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0299408,2011-12,1,Single,0,29667,Unknown,Unknown,Off Campus,,,,11114,,,,6070,,,,,2250,,,5647,,,,10857,11399,,,7239
0268673,2011-12,1,Single,0,79031,Unknown,Unknown,Off Campus,3500,,,,3500,,,,,,,,,,,,,,,,,,,
0301562,2011-12,1,Single,0,39944,College,High School,On Campus Housing,3500,,,11588,4500,,,8692,,,,,3250,,,4298,,,,,,,,
0277866,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0303428,2011-12,1,Single,17850,92728,High School,College,With Parent,,,,,,,,,,,,,,,,,,,,,,,,
0304525,2011-12,1,Single,124,0,College,College,Off Campus,,,,11588,,,,,,,,,,,,,,,,,,,,
0302917,2011-12,1,Single,0,92002,High School,High School,With Parent,5500,,,750,,,,,,,,,,,,,,,,,,,,
0304854,2011-12,1,Single,0,9365,High School,Middle School,Off Campus,,,,2082,,,,,,,,,,,,,,,,,,,,
0303599,2011-12,1,,,,,,,,,,,8500,,,,,,,,10500,,,,12500,,,,8842,,,
0264697,2011-12,1,Single,11713,10126,High School,High School,With Parent,3000,,,10824,2750,,,6669,,,,,,,,,,,,,,,,
0303565,2011-12,1,Single,0,87501,High School,High School,Off Campus,40000,,,,,,,,,,,,,,,,,,,,,,,
0304246,2011-12,1,Single,59043,0,High School,College,With Parent,7500,,,,,,,,,,,,,,,,,,,,,,,
0304279,2011-12,1,Single,17959,0,High School,Unknown,With Parent,3500,,,8382,5500,,,5550,2750,,,2823,,,,,,,,,,,,
0303589,2011-12,1,Single,0,0,High School,High School,Off Campus,3500,,,5550,,,,,,,,,,,,,,,,,,,,
0299396,2011-12,1,Single,0,41791,High School,High School,On Campus Housing,12400,,,9824,,,,,,,,,,,,,,,,,,,,
0299020,2011-12,1,Single,0,22606,College,College,With Parent,5500,,,12738,,,,12940,6500,,,13151,7500,,,12094,5500,,,7658,,,,
0301684,2011-12,1,Single,0,42799,High School,High School,On Campus Housing,,,,5794,,,,,,,,,,,,,,,,,,,,
0293205,2011-12,1,Single,16143,0,College,High School,With Parent,9500,,,3100,5250,,,5100,,,,,,,,,,,,,,,,
0303305,2011-12,1,Single,32168,0,Unknown,Unknown,Off Campus,7500,,,,10500,,,,10500,,,,,,,,,,,,,,,
0268879,2011-12,1,Single,3298,32080,Unknown,High School,Off Campus,,5000,,7518,5500,5000,,5194,,,,,12500,,,,12500,,,,,,,
0298895,2011-12,1,Single,0,25683,College,High School,With Parent,3500,,,5550,9500,,,5500,,,,5143,10500,,,2180,,,,,,,,
0299243,2011-12,1,Single,5448,12589,College,High School,On Campus Housing,12000,,2142,12988,6000,,1000,2775,,,,,6500,,,6255,5500,,,5775,6700,,,5089
0301078,2011-12,1,Married,65077,0,High School,High School,Off Campus,3750,,,1088,,,,,,,,,,,,,,,,,,,,
0301377,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0300367,2011-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301653,2011-12,1,Single,11884,14251,High School,High School,On Campus Housing,3500,,,9674,7500,,,4813,2750,,,,,,,,,,,,,,,
0299272,2011-12,1,Single,0,12372,High School,Unknown,Off Campus,,,,11588,,,,6195,,,,,,,,,,,,,,,,
0297218,2011-12,1,Single,0,0,College,Middle School,With Parent,,5000,,11988,,2000,,12390,,2000,,12001,,2000,,12116,5500,,,8293,,,,
0299086,2011-12,1,Single,489,15810,College,High School,Off Campus,3500,,,5550,3500,,,5550,2350,,3000,12451,,,,12066,,,,12255,,,,
0299972,2011-12,1,Single,0,56611,High School,Middle School,Off Campus,3560,,,3731,,,,,,,,,,,,,,,,,,,,
0303358,2011-12,1,Single,11967,112784,High School,High School,Off Campus,,,,,,,,,,,,,,,,,,,,,,,,
0297892,2011-12,1,Single,0,0,Middle School,High School,With Parent,1750,,,2775,,,,,,,,,,,,,,,,,,,,
0301309,2011-12,1,Single,0,13048,High School,Middle School,With Parent,3500,,,4163,3500,,,11790,4500,,,10335,2250,,,7970,7500,,,6708,7500,,,5815
0296633,2011-12,1,Single,13693,0,College,High School,With Parent,7500,,,5112,,,,694,,,,,,,,,,,,,,,,
0302533,2011-12,1,Single,0,34666,Unknown,College,With Parent,5500,,,7924,5500,,,3900,6500,,,8885,5500,,,4680,17500,,,4025,,,,
0300002,2011-12,1,Single,0,31089,College,College,With Parent,,,,5794,,,,,,,,,,,,,,,,,,,,
0294406,2011-12,1,Single,0,25811,Unknown,Unknown,On Campus Housing,8000,,,12988,12000,,2000,10850,13000,,1290,10685,13000,,,9792,12500,,,12571,9000,,,12823
0303601,2011-12,1,Single,54031,0,College,College,Off Campus,10500,,,,11764,,,,10500,,,,,,,,,,,,,,,
0302183,2011-12,1,Married,80594,0,Middle School,College,Off Campus,8500,5000,,600,12500,7340,,4100,10500,2000,,3897,,,,,,,,,,,,
